Titularidad;Sexo;Comunidad autónoma/provincia;Curso;Total
TODOS LOS CENTROS;Hombres;Huelva;Tercero;7,8
TODOS LOS CENTROS;Hombres;Huelva;Cuarto;5,2
TODOS LOS CENTROS;Hombres;Jaén;Total;6,5
TODOS LOS CENTROS;Hombres;Jaén;Primero;8,4
TODOS LOS CENTROS;Hombres;Jaén;Segundo;7
TODOS LOS CENTROS;Hombres;Jaén;Tercero;6
TODOS LOS CENTROS;Hombres;Jaén;Cuarto;4,2
TODOS LOS CENTROS;Hombres;Málaga;Total;8,2
TODOS LOS CENTROS;Hombres;Málaga;Primero;9,6
TODOS LOS CENTROS;Hombres;Málaga;Segundo;9,5
TODOS LOS CENTROS;Hombres;Málaga;Tercero;7,1
TODOS LOS CENTROS;Hombres;Málaga;Cuarto;6,1
TODOS LOS CENTROS;Hombres;Sevilla;Total;7,4
TODOS LOS CENTROS;Hombres;Sevilla;Primero;8,5
TODOS LOS CENTROS;Hombres;Sevilla;Segundo;9,1
TODOS LOS CENTROS;Hombres;Sevilla;Tercero;6,1
TODOS LOS CENTROS;Hombres;Sevilla;Cuarto;4,9
TODOS LOS CENTROS;Hombres;02 ARAGÓN;Total;2,7
TODOS LOS CENTROS;Hombres;02 ARAGÓN;Primero;4,1
TODOS LOS CENTROS;Hombres;02 ARAGÓN;Segundo;2,1
TODOS LOS CENTROS;Hombres;02 ARAGÓN;Tercero;2,4
TODOS LOS CENTROS;Hombres;02 ARAGÓN;Cuarto;2,1
TODOS LOS CENTROS;Hombres;Huesca;Total;3,3
TODOS LOS CENTROS;Hombres;Huesca;Primero;4,6
TODOS LOS CENTROS;Hombres;Huesca;Segundo;3,3
TODOS LOS CENTROS;Hombres;Huesca;Tercero;3,2
TODOS LOS CENTROS;Hombres;Huesca;Cuarto;1,8
TODOS LOS CENTROS;Hombres;Teruel;Total;2,4
TODOS LOS CENTROS;Hombres;Teruel;Primero;2,8
TODOS LOS CENTROS;Hombres;Teruel;Segundo;2,1
TODOS LOS CENTROS;Hombres;Teruel;Tercero;1,8
TODOS LOS CENTROS;Hombres;Teruel;Cuarto;2,7
TODOS LOS CENTROS;Hombres;Zaragoza;Total;2,7
TODOS LOS CENTROS;Hombres;Zaragoza;Primero;4,2
TODOS LOS CENTROS;Hombres;Zaragoza;Segundo;1,8
TODOS LOS CENTROS;Hombres;Zaragoza;Tercero;2,3
TODOS LOS CENTROS;Hombres;Zaragoza;Cuarto;2,1
TODOS LOS CENTROS;Hombres;03 ASTURIAS, PRINCIPADO DE;Total;2,7
TODOS LOS CENTROS;Hombres;03 ASTURIAS, PRINCIPADO DE;Primero;3,9
TODOS LOS CENTROS;Hombres;03 ASTURIAS, PRINCIPADO DE;Segundo;2
TODOS LOS CENTROS;Hombres;03 ASTURIAS, PRINCIPADO DE;Tercero;2,5
TODOS LOS CENTROS;Hombres;03 ASTURIAS, PRINCIPADO DE;Cuarto;2,4
TODOS LOS CENTROS;Hombres;04 BALEARS, ILLES;Total;4,7
TODOS LOS CENTROS;Hombres;04 BALEARS, ILLES;Primero;5,3
TODOS LOS CENTROS;Hombres;04 BALEARS, ILLES;Segundo;5,1
TODOS LOS CENTROS;Hombres;04 BALEARS, ILLES;Tercero;4,6
TODOS LOS CENTROS;Hombres;04 BALEARS, ILLES;Cuarto;3,7
TODOS LOS CENTROS;Hombres;05 CANARIAS;Total;3,8
TODOS LOS CENTROS;Hombres;05 CANARIAS;Primero;4,9
TODOS LOS CENTROS;Hombres;05 CANARIAS;Segundo;3
TODOS LOS CENTROS;Hombres;05 CANARIAS;Tercero;3,5
TODOS LOS CENTROS;Hombres;05 CANARIAS;Cuarto;3,6
TODOS LOS CENTROS;Hombres;Las Palmas;Total;3,9
TODOS LOS CENTROS;Hombres;Las Palmas;Primero;4,8
TODOS LOS CENTROS;Hombres;Las Palmas;Segundo;3,4
TODOS LOS CENTROS;Hombres;Las Palmas;Tercero;3,3
TODOS LOS CENTROS;Hombres;Las Palmas;Cuarto;3,8
TODOS LOS CENTROS;Hombres;Santa Cruz de Tenerife;Total;3,7
TODOS LOS CENTROS;Hombres;Santa Cruz de Tenerife;Primero;4,9
TODOS LOS CENTROS;Hombres;Santa Cruz de Tenerife;Segundo;2,6
TODOS LOS CENTROS;Hombres;Santa Cruz de Tenerife;Tercero;3,8
TODOS LOS CENTROS;Hombres;Santa Cruz de Tenerife;Cuarto;3,3
TODOS LOS CENTROS;Hombres;06 CANTABRIA;Total;2,9
TODOS LOS CENTROS;Hombres;06 CANTABRIA;Primero;3
TODOS LOS CENTROS;Hombres;06 CANTABRIA;Segundo;3
TODOS LOS CENTROS;Hombres;06 CANTABRIA;Tercero;3,5
TODOS LOS CENTROS;Hombres;06 CANTABRIA;Cuarto;1,9
TODOS LOS CENTROS;Hombres;07 CASTILLA Y LEÓN;Total;5
TODOS LOS CENTROS;Hombres;07 CASTILLA Y LEÓN;Primero;6,6
TODOS LOS CENTROS;Hombres;07 CASTILLA Y LEÓN;Segundo;5,2
TODOS LOS CENTROS;Hombres;07 CASTILLA Y LEÓN;Tercero;4,2
TODOS LOS CENTROS;Hombres;07 CASTILLA Y LEÓN;Cuarto;3,9
TODOS LOS CENTROS;Hombres;Ávila;Total;6,6
TODOS LOS CENTROS;Hombres;Ávila;Primero;7,6
TODOS LOS CENTROS;Hombres;Ávila;Segundo;7,9
TODOS LOS CENTROS;Hombres;Ávila;Tercero;5,3
TODOS LOS CENTROS;Hombres;Ávila;Cuarto;5,2
TODOS LOS CENTROS;Hombres;Burgos;Total;4,4
TODOS LOS CENTROS;Hombres;Burgos;Primero;5,7
TODOS LOS CENTROS;Hombres;Burgos;Segundo;4,6
TODOS LOS CENTROS;Hombres;Burgos;Tercero;4
TODOS LOS CENTROS;Hombres;Burgos;Cuarto;3
TODOS LOS CENTROS;Hombres;León;Total;4,2
TODOS LOS CENTROS;Hombres;León;Primero;4,9
TODOS LOS CENTROS;Hombres;León;Segundo;5,1
TODOS LOS CENTROS;Hombres;León;Tercero;3,4
TODOS LOS CENTROS;Hombres;León;Cuarto;3,2
TODOS LOS CENTROS;Hombres;Palencia;Total;6,7
TODOS LOS CENTROS;Hombres;Palencia;Primero;9,2
TODOS LOS CENTROS;Hombres;Palencia;Segundo;6,5
TODOS LOS CENTROS;Hombres;Palencia;Tercero;5,3
TODOS LOS CENTROS;Hombres;Palencia;Cuarto;5,7
TODOS LOS CENTROS;Hombres;Salamanca;Total;5,1
TODOS LOS CENTROS;Hombres;Salamanca;Primero;7,2
TODOS LOS CENTROS;Hombres;Salamanca;Segundo;4,3
TODOS LOS CENTROS;Hombres;Salamanca;Tercero;3,7
TODOS LOS CENTROS;Hombres;Salamanca;Cuarto;4,8
TODOS LOS CENTROS;Hombres;Segovia;Total;5,9
TODOS LOS CENTROS;Hombres;Segovia;Primero;8,2
TODOS LOS CENTROS;Hombres;Segovia;Segundo;5,8
TODOS LOS CENTROS;Hombres;Segovia;Tercero;4,5
TODOS LOS CENTROS;Hombres;Segovia;Cuarto;5
TODOS LOS CENTROS;Hombres;Soria;Total;3,9
TODOS LOS CENTROS;Hombres;Soria;Primero;4,6
TODOS LOS CENTROS;Hombres;Soria;Segundo;4,3
TODOS LOS CENTROS;Hombres;Soria;Tercero;4,4
TODOS LOS CENTROS;Hombres;Soria;Cuarto;1,9
TODOS LOS CENTROS;Hombres;Valladolid;Total;5,1
TODOS LOS CENTROS;Hombres;Valladolid;Primero;6,7
TODOS LOS CENTROS;Hombres;Valladolid;Segundo;4,9
TODOS LOS CENTROS;Hombres;Valladolid;Tercero;4,4
TODOS LOS CENTROS;Hombres;Valladolid;Cuarto;3,8
TODOS LOS CENTROS;Hombres;Zamora;Total;5
TODOS LOS CENTROS;Hombres;Zamora;Primero;7,7
TODOS LOS CENTROS;Hombres;Zamora;Segundo;5,1
TODOS LOS CENTROS;Hombres;Zamora;Tercero;4
TODOS LOS CENTROS;Hombres;Zamora;Cuarto;2,9
TODOS LOS CENTROS;Hombres;08 CASTILLA-LA MANCHA;Total;5,7
TODOS LOS CENTROS;Hombres;08 CASTILLA-LA MANCHA;Primero;7,4
TODOS LOS CENTROS;Hombres;08 CASTILLA-LA MANCHA;Segundo;5,7
TODOS LOS CENTROS;Hombres;08 CASTILLA-LA MANCHA;Tercero;5
TODOS LOS CENTROS;Hombres;08 CASTILLA-LA MANCHA;Cuarto;4,2
TODOS LOS CENTROS;Hombres;Albacete;Total;4
TODOS LOS CENTROS;Hombres;Albacete;Primero;5,5
TODOS LOS CENTROS;Hombres;Albacete;Segundo;4,1
TODOS LOS CENTROS;Hombres;Albacete;Tercero;3,2
TODOS LOS CENTROS;Hombres;Albacete;Cuarto;2,7
TODOS LOS CENTROS;Hombres;Ciudad Real;Total;4,5
TODOS LOS CENTROS;Hombres;Ciudad Real;Primero;6,9
TODOS LOS CENTROS;Hombres;Ciudad Real;Segundo;4,7
TODOS LOS CENTROS;Hombres;Ciudad Real;Tercero;3,5
TODOS LOS CENTROS;Hombres;Ciudad Real;Cuarto;2,3
TODOS LOS CENTROS;Hombres;Cuenca;Total;9,8
TODOS LOS CENTROS;Hombres;Cuenca;Primero;11,4
TODOS LOS CENTROS;Hombres;Cuenca;Segundo;9,2
TODOS LOS CENTROS;Hombres;Cuenca;Tercero;8,8
TODOS LOS CENTROS;Hombres;Cuenca;Cuarto;9,6
TODOS LOS CENTROS;Hombres;Guadalajara;Total;5,3
TODOS LOS CENTROS;Hombres;Guadalajara;Primero;6
TODOS LOS CENTROS;Hombres;Guadalajara;Segundo;3,9
TODOS LOS CENTROS;Hombres;Guadalajara;Tercero;6,5
TODOS LOS CENTROS;Hombres;Guadalajara;Cuarto;4,7
TODOS LOS CENTROS;Hombres;Toledo;Total;6,5
TODOS LOS CENTROS;Hombres;Toledo;Primero;8,2
TODOS LOS CENTROS;Hombres;Toledo;Segundo;7
TODOS LOS CENTROS;Hombres;Toledo;Tercero;5,3
TODOS LOS CENTROS;Hombres;Toledo;Cuarto;4,7
TODOS LOS CENTROS;Hombres;09 CATALUÑA;Total;2,7
TODOS LOS CENTROS;Hombres;09 CATALUÑA;Primero;1,9
TODOS LOS CENTROS;Hombres;09 CATALUÑA;Segundo;2,3
TODOS LOS CENTROS;Hombres;09 CATALUÑA;Tercero;2,8
TODOS LOS CENTROS;Hombres;09 CATALUÑA;Cuarto;3,8
TODOS LOS CENTROS;Hombres;Barcelona;Total;2,6
TODOS LOS CENTROS;Hombres;Barcelona;Primero;2
TODOS LOS CENTROS;Hombres;Barcelona;Segundo;2,1
TODOS LOS CENTROS;Hombres;Barcelona;Tercero;2,7
TODOS LOS CENTROS;Hombres;Barcelona;Cuarto;3,6
TODOS LOS CENTROS;Hombres;Girona;Total;2,4
TODOS LOS CENTROS;Hombres;Girona;Primero;1,3
TODOS LOS CENTROS;Hombres;Girona;Segundo;1,8
TODOS LOS CENTROS;Hombres;Girona;Tercero;2,4
TODOS LOS CENTROS;Hombres;Girona;Cuarto;4,4
TODOS LOS CENTROS;Hombres;Lleida;Total;3,5
TODOS LOS CENTROS;Hombres;Lleida;Primero;2,5
TODOS LOS CENTROS;Hombres;Lleida;Segundo;3,2
TODOS LOS CENTROS;Hombres;Lleida;Tercero;4,1
TODOS LOS CENTROS;Hombres;Lleida;Cuarto;4,2
TODOS LOS CENTROS;Hombres;Tarragona;Total;3,3
TODOS LOS CENTROS;Hombres;Tarragona;Primero;2,1
TODOS LOS CENTROS;Hombres;Tarragona;Segundo;3,5
TODOS LOS CENTROS;Hombres;Tarragona;Tercero;3,6
TODOS LOS CENTROS;Hombres;Tarragona;Cuarto;4,1
TODOS LOS CENTROS;Hombres;10 COMUNITAT VALENCIANA;Total;4,7
TODOS LOS CENTROS;Hombres;10 COMUNITAT VALENCIANA;Primero;5,9
TODOS LOS CENTROS;Hombres;10 COMUNITAT VALENCIANA;Segundo;4,8
TODOS LOS CENTROS;Hombres;10 COMUNITAT VALENCIANA;Tercero;4,5
TODOS LOS CENTROS;Hombres;10 COMUNITAT VALENCIANA;Cuarto;3,2
TODOS LOS CENTROS;Hombres;Alicante/Alacant;Total;5,2
TODOS LOS CENTROS;Hombres;Alicante/Alacant;Primero;6,1
TODOS LOS CENTROS;Hombres;Alicante/Alacant;Segundo;5,6
TODOS LOS CENTROS;Hombres;Alicante/Alacant;Tercero;5
TODOS LOS CENTROS;Hombres;Alicante/Alacant;Cuarto;3,9
TODOS LOS CENTROS;Hombres;Castellón/Castelló;Total;4,7
TODOS LOS CENTROS;Hombres;Castellón/Castelló;Primero;6,7
TODOS LOS CENTROS;Hombres;Castellón/Castelló;Segundo;4,5
TODOS LOS CENTROS;Hombres;Castellón/Castelló;Tercero;4,2
TODOS LOS CENTROS;Hombres;Castellón/Castelló;Cuarto;2,6
TODOS LOS CENTROS;Hombres;Valencia/València;Total;4,4
TODOS LOS CENTROS;Hombres;Valencia/València;Primero;5,6
TODOS LOS CENTROS;Hombres;Valencia/València;Segundo;4,3
TODOS LOS CENTROS;Hombres;Valencia/València;Tercero;4,3
TODOS LOS CENTROS;Hombres;Valencia/València;Cuarto;2,9
TODOS LOS CENTROS;Hombres;11 EXTREMADURA;Total;3,8
TODOS LOS CENTROS;Hombres;11 EXTREMADURA;Primero;5
TODOS LOS CENTROS;Hombres;11 EXTREMADURA;Segundo;4,1
TODOS LOS CENTROS;Hombres;11 EXTREMADURA;Tercero;3
TODOS LOS CENTROS;Hombres;11 EXTREMADURA;Cuarto;2,8
TODOS LOS CENTROS;Hombres;Badajoz;Total;3,7
TODOS LOS CENTROS;Hombres;Badajoz;Primero;4,8
TODOS LOS CENTROS;Hombres;Badajoz;Segundo;4,2
TODOS LOS CENTROS;Hombres;Badajoz;Tercero;3,1
TODOS LOS CENTROS;Hombres;Badajoz;Cuarto;2,4
TODOS LOS CENTROS;Hombres;Cáceres;Total;4
TODOS LOS CENTROS;Hombres;Cáceres;Primero;5,5
TODOS LOS CENTROS;Hombres;Cáceres;Segundo;4,1
TODOS LOS CENTROS;Hombres;Cáceres;Tercero;2,9
TODOS LOS CENTROS;Hombres;Cáceres;Cuarto;3,3
TODOS LOS CENTROS;Hombres;12 GALICIA;Total;3
TODOS LOS CENTROS;Hombres;12 GALICIA;Primero;3,9
TODOS LOS CENTROS;Hombres;12 GALICIA;Segundo;2,8
TODOS LOS CENTROS;Hombres;12 GALICIA;Tercero;2,8
TODOS LOS CENTROS;Hombres;12 GALICIA;Cuarto;2,3
TODOS LOS CENTROS;Hombres;A Coruña;Total;2,8
TODOS LOS CENTROS;Hombres;A Coruña;Primero;3,5
TODOS LOS CENTROS;Hombres;A Coruña;Segundo;2,4
TODOS LOS CENTROS;Hombres;A Coruña;Tercero;2,8
TODOS LOS CENTROS;Hombres;A Coruña;Cuarto;2,3
TODOS LOS CENTROS;Hombres;Lugo;Total;4
TODOS LOS CENTROS;Hombres;Lugo;Primero;5,6
TODOS LOS CENTROS;Hombres;Lugo;Segundo;4,4
TODOS LOS CENTROS;Hombres;Lugo;Tercero;2,9
TODOS LOS CENTROS;Hombres;Lugo;Cuarto;2,4
TODOS LOS CENTROS;Hombres;Ourense;Total;3,5
TODOS LOS CENTROS;Hombres;Ourense;Primero;5,2
TODOS LOS CENTROS;Hombres;Ourense;Segundo;3
TODOS LOS CENTROS;Hombres;Ourense;Tercero;2,6
TODOS LOS CENTROS;Hombres;Ourense;Cuarto;2,8
TODOS LOS CENTROS;Hombres;Pontevedra;Total;2,9
TODOS LOS CENTROS;Hombres;Pontevedra;Primero;3,6
TODOS LOS CENTROS;Hombres;Pontevedra;Segundo;2,9
TODOS LOS CENTROS;Hombres;Pontevedra;Tercero;2,8
TODOS LOS CENTROS;Hombres;Pontevedra;Cuarto;2,2
TODOS LOS CENTROS;Hombres;13 MADRID, COMUNIDAD DE;Total;5,1
TODOS LOS CENTROS;Hombres;13 MADRID, COMUNIDAD DE;Primero;5,7
TODOS LOS CENTROS;Hombres;13 MADRID, COMUNIDAD DE;Segundo;5,3
TODOS LOS CENTROS;Hombres;13 MADRID, COMUNIDAD DE;Tercero;4,8
TODOS LOS CENTROS;Hombres;13 MADRID, COMUNIDAD DE;Cuarto;4,3
TODOS LOS CENTROS;Hombres;14 MURCIA, REGIÓN DE;Total;8,8
TODOS LOS CENTROS;Hombres;14 MURCIA, REGIÓN DE;Primero;9,8
TODOS LOS CENTROS;Hombres;14 MURCIA, REGIÓN DE;Segundo;9,3
TODOS LOS CENTROS;Hombres;14 MURCIA, REGIÓN DE;Tercero;7,7
TODOS LOS CENTROS;Hombres;14 MURCIA, REGIÓN DE;Cuarto;7,9
TODOS LOS CENTROS;Hombres;15 NAVARRA, COMUNIDAD FORAL DE;Total;3,9
TODOS LOS CENTROS;Hombres;15 NAVARRA, COMUNIDAD FORAL DE;Primero;5,1
TODOS LOS CENTROS;Hombres;15 NAVARRA, COMUNIDAD FORAL DE;Segundo;4,4
TODOS LOS CENTROS;Hombres;15 NAVARRA, COMUNIDAD FORAL DE;Tercero;3,4
TODOS LOS CENTROS;Hombres;15 NAVARRA, COMUNIDAD FORAL DE;Cuarto;2,6
TODOS LOS CENTROS;Hombres;16 PAÍS VASCO;Total;4,3
TODOS LOS CENTROS;Hombres;16 PAÍS VASCO;Primero;5,7
TODOS LOS CENTROS;Hombres;16 PAÍS VASCO;Segundo;5,1
TODOS LOS CENTROS;Hombres;16 PAÍS VASCO;Tercero;3,5
TODOS LOS CENTROS;Hombres;16 PAÍS VASCO;Cuarto;2,7
TODOS LOS CENTROS;Hombres;Araba/Álava;Total;6,8
TODOS LOS CENTROS;Hombres;Araba/Álava;Primero;8,2
TODOS LOS CENTROS;Hombres;Araba/Álava;Segundo;7,9
TODOS LOS CENTROS;Hombres;Araba/Álava;Tercero;5,1
TODOS LOS CENTROS;Hombres;Araba/Álava;Cuarto;5,4
TODOS LOS CENTROS;Hombres;Gipuzkoa;Total;3,3
TODOS LOS CENTROS;Hombres;Gipuzkoa;Primero;4,2
TODOS LOS CENTROS;Hombres;Gipuzkoa;Segundo;4,5
TODOS LOS CENTROS;Hombres;Gipuzkoa;Tercero;2,7
TODOS LOS CENTROS;Hombres;Gipuzkoa;Cuarto;1,7
TODOS LOS CENTROS;Hombres;Bizkaia;Total;4,3
TODOS LOS CENTROS;Hombres;Bizkaia;Primero;6
TODOS LOS CENTROS;Hombres;Bizkaia;Segundo;4,6
TODOS LOS CENTROS;Hombres;Bizkaia;Tercero;3,6
TODOS LOS CENTROS;Hombres;Bizkaia;Cuarto;2,5
TODOS LOS CENTROS;Hombres;17 RIOJA, LA;Total;4,5
TODOS LOS CENTROS;Hombres;17 RIOJA, LA;Primero;6,9
TODOS LOS CENTROS;Hombres;17 RIOJA, LA;Segundo;3,5
TODOS LOS CENTROS;Hombres;17 RIOJA, LA;Tercero;3,4
TODOS LOS CENTROS;Hombres;17 RIOJA, LA;Cuarto;3,9
TODOS LOS CENTROS;Hombres;18 CEUTA;Total;4,7
TODOS LOS CENTROS;Hombres;18 CEUTA;Primero;6,5
TODOS LOS CENTROS;Hombres;18 CEUTA;Segundo;3,5
TODOS LOS CENTROS;Hombres;18 CEUTA;Tercero;4
TODOS LOS CENTROS;Hombres;18 CEUTA;Cuarto;4,4
TODOS LOS CENTROS;Hombres;19 MELILLA;Total;11,1
TODOS LOS CENTROS;Hombres;19 MELILLA;Primero;16,6
TODOS LOS CENTROS;Hombres;19 MELILLA;Segundo;10,2
TODOS LOS CENTROS;Hombres;19 MELILLA;Tercero;8,8
TODOS LOS CENTROS;Hombres;19 MELILLA;Cuarto;5,2
TODOS LOS CENTROS;Mujeres;00 TOTAL;Total;3,4
TODOS LOS CENTROS;Mujeres;00 TOTAL;Primero;4
TODOS LOS CENTROS;Mujeres;00 TOTAL;Segundo;3,8
TODOS LOS CENTROS;Mujeres;00 TOTAL;Tercero;3,2
TODOS LOS CENTROS;Mujeres;00 TOTAL;Cuarto;2,6
TODOS LOS CENTROS;Mujeres;01 ANDALUCÍA;Total;5,4
TODOS LOS CENTROS;Mujeres;01 ANDALUCÍA;Primero;6,5
TODOS LOS CENTROS;Mujeres;01 ANDALUCÍA;Segundo;6,4
TODOS LOS CENTROS;Mujeres;01 ANDALUCÍA;Tercero;4,9
TODOS LOS CENTROS;Mujeres;01 ANDALUCÍA;Cuarto;3,2
TODOS LOS CENTROS;Mujeres;Almería;Total;7,1
TODOS LOS CENTROS;Mujeres;Almería;Primero;8,9
TODOS LOS CENTROS;Mujeres;Almería;Segundo;8,1
TODOS LOS CENTROS;Mujeres;Almería;Tercero;6,7
TODOS LOS CENTROS;Mujeres;Almería;Cuarto;4,1
TODOS LOS CENTROS;Mujeres;Cádiz;Total;5,2
TODOS LOS CENTROS;Mujeres;Cádiz;Primero;6
TODOS LOS CENTROS;Mujeres;Cádiz;Segundo;6
TODOS LOS CENTROS;Mujeres;Cádiz;Tercero;4,8
TODOS LOS CENTROS;Mujeres;Cádiz;Cuarto;3,4
TODOS LOS CENTROS;Mujeres;Córdoba;Total;3,9
TODOS LOS CENTROS;Mujeres;Córdoba;Primero;5
TODOS LOS CENTROS;Mujeres;Córdoba;Segundo;4,7
TODOS LOS CENTROS;Mujeres;Córdoba;Tercero;3,5
TODOS LOS CENTROS;Mujeres;Córdoba;Cuarto;2,2
TODOS LOS CENTROS;Mujeres;Granada;Total;4,7
TODOS LOS CENTROS;Mujeres;Granada;Primero;5,5
TODOS LOS CENTROS;Mujeres;Granada;Segundo;5,3
TODOS LOS CENTROS;Mujeres;Granada;Tercero;4,3
TODOS LOS CENTROS;Mujeres;Granada;Cuarto;3,3
TODOS LOS CENTROS;Mujeres;Huelva;Total;6
TODOS LOS CENTROS;Mujeres;Huelva;Primero;7
TODOS LOS CENTROS;Mujeres;Huelva;Segundo;7
TODOS LOS CENTROS;Mujeres;Huelva;Tercero;5,8
TODOS LOS CENTROS;Mujeres;Huelva;Cuarto;3,3
TODOS LOS CENTROS;Mujeres;Jaén;Total;4,6
TODOS LOS CENTROS;Mujeres;Jaén;Primero;5,9
TODOS LOS CENTROS;Mujeres;Jaén;Segundo;4,8
TODOS LOS CENTROS;Mujeres;Jaén;Tercero;4,5
TODOS LOS CENTROS;Mujeres;Jaén;Cuarto;2,8
TODOS LOS CENTROS;Mujeres;Málaga;Total;5,9
TODOS LOS CENTROS;Mujeres;Málaga;Primero;7,1
TODOS LOS CENTROS;Mujeres;Málaga;Segundo;7,2
TODOS LOS CENTROS;Mujeres;Málaga;Tercero;5,3
TODOS LOS CENTROS;Mujeres;Málaga;Cuarto;3,6
TODOS LOS CENTROS;Mujeres;Sevilla;Total;5,4
TODOS LOS CENTROS;Mujeres;Sevilla;Primero;6,3
TODOS LOS CENTROS;Mujeres;Sevilla;Segundo;6,9
TODOS LOS CENTROS;Mujeres;Sevilla;Tercero;4,8
TODOS LOS CENTROS;Mujeres;Sevilla;Cuarto;3,1
TODOS LOS CENTROS;Mujeres;02 ARAGÓN;Total;2
TODOS LOS CENTROS;Mujeres;02 ARAGÓN;Primero;3
TODOS LOS CENTROS;Mujeres;02 ARAGÓN;Segundo;1,7
TODOS LOS CENTROS;Mujeres;02 ARAGÓN;Tercero;1,7
TODOS LOS CENTROS;Mujeres;02 ARAGÓN;Cuarto;1,3
TODOS LOS CENTROS;Mujeres;Huesca;Total;2,2
TODOS LOS CENTROS;Mujeres;Huesca;Primero;2,9
TODOS LOS CENTROS;Mujeres;Huesca;Segundo;1,4
TODOS LOS CENTROS;Mujeres;Huesca;Tercero;2,4
TODOS LOS CENTROS;Mujeres;Huesca;Cuarto;1,9
TODOS LOS CENTROS;Mujeres;Teruel;Total;1,8
TODOS LOS CENTROS;Mujeres;Teruel;Primero;2,2
TODOS LOS CENTROS;Mujeres;Teruel;Segundo;1,1
TODOS LOS CENTROS;Mujeres;Teruel;Tercero;2,7
TODOS LOS CENTROS;Mujeres;Teruel;Cuarto;0,9
TODOS LOS CENTROS;Mujeres;Zaragoza;Total;1,9
TODOS LOS CENTROS;Mujeres;Zaragoza;Primero;3,2
TODOS LOS CENTROS;Mujeres;Zaragoza;Segundo;1,8
TODOS LOS CENTROS;Mujeres;Zaragoza;Tercero;1,5
TODOS LOS CENTROS;Mujeres;Zaragoza;Cuarto;1,2
TODOS LOS CENTROS;Mujeres;03 ASTURIAS, PRINCIPADO DE;Total;2,2
TODOS LOS CENTROS;Mujeres;03 ASTURIAS, PRINCIPADO DE;Primero;2,5
TODOS LOS CENTROS;Mujeres;03 ASTURIAS, PRINCIPADO DE;Segundo;2,1
TODOS LOS CENTROS;Mujeres;03 ASTURIAS, PRINCIPADO DE;Tercero;2,6
TODOS LOS CENTROS;Mujeres;03 ASTURIAS, PRINCIPADO DE;Cuarto;1,7
TODOS LOS CENTROS;Mujeres;04 BALEARS, ILLES;Total;3
TODOS LOS CENTROS;Mujeres;04 BALEARS, ILLES;Primero;3,1
TODOS LOS CENTROS;Mujeres;04 BALEARS, ILLES;Segundo;3,3
TODOS LOS CENTROS;Mujeres;04 BALEARS, ILLES;Tercero;3
TODOS LOS CENTROS;Mujeres;04 BALEARS, ILLES;Cuarto;2,5
TODOS LOS CENTROS;Mujeres;05 CANARIAS;Total;2,3
TODOS LOS CENTROS;Mujeres;05 CANARIAS;Primero;2,9
TODOS LOS CENTROS;Mujeres;05 CANARIAS;Segundo;2
TODOS LOS CENTROS;Mujeres;05 CANARIAS;Tercero;2,6
TODOS LOS CENTROS;Mujeres;05 CANARIAS;Cuarto;1,8
TODOS LOS CENTROS;Mujeres;Las Palmas;Total;2,4
TODOS LOS CENTROS;Mujeres;Las Palmas;Primero;2,8
TODOS LOS CENTROS;Mujeres;Las Palmas;Segundo;2,1
TODOS LOS CENTROS;Mujeres;Las Palmas;Tercero;2,7
TODOS LOS CENTROS;Mujeres;Las Palmas;Cuarto;2
TODOS LOS CENTROS;Mujeres;Santa Cruz de Tenerife;Total;2,2
TODOS LOS CENTROS;Mujeres;Santa Cruz de Tenerife;Primero;2,9
TODOS LOS CENTROS;Mujeres;Santa Cruz de Tenerife;Segundo;1,9
TODOS LOS CENTROS;Mujeres;Santa Cruz de Tenerife;Tercero;2,5
TODOS LOS CENTROS;Mujeres;Santa Cruz de Tenerife;Cuarto;1,6
TODOS LOS CENTROS;Mujeres;06 CANTABRIA;Total;2,2
TODOS LOS CENTROS;Mujeres;06 CANTABRIA;Primero;2,9
TODOS LOS CENTROS;Mujeres;06 CANTABRIA;Segundo;2,3
TODOS LOS CENTROS;Mujeres;06 CANTABRIA;Tercero;2,2
TODOS LOS CENTROS;Mujeres;06 CANTABRIA;Cuarto;1,4
TODOS LOS CENTROS;Mujeres;07 CASTILLA Y LEÓN;Total;3,6
TODOS LOS CENTROS;Mujeres;07 CASTILLA Y LEÓN;Primero;4,5
TODOS LOS CENTROS;Mujeres;07 CASTILLA Y LEÓN;Segundo;4
TODOS LOS CENTROS;Mujeres;07 CASTILLA Y LEÓN;Tercero;3,3
TODOS LOS CENTROS;Mujeres;07 CASTILLA Y LEÓN;Cuarto;2,5
TODOS LOS CENTROS;Mujeres;Ávila;Total;4
TODOS LOS CENTROS;Mujeres;Ávila;Primero;5
TODOS LOS CENTROS;Mujeres;Ávila;Segundo;4,3
TODOS LOS CENTROS;Mujeres;Ávila;Tercero;3
TODOS LOS CENTROS;Mujeres;Ávila;Cuarto;3,8
TODOS LOS CENTROS;Mujeres;Burgos;Total;3,4
TODOS LOS CENTROS;Mujeres;Burgos;Primero;5,4
TODOS LOS CENTROS;Mujeres;Burgos;Segundo;3,5
TODOS LOS CENTROS;Mujeres;Burgos;Tercero;2,6
TODOS LOS CENTROS;Mujeres;Burgos;Cuarto;1,8
TODOS LOS CENTROS;Mujeres;León;Total;3
