Titularidad;Sexo;Comunidad autónoma/provincia;Curso;Total
TODOS LOS CENTROS;AMBOS SEXOS;03 ASTURIAS, PRINCIPADO DE;Primero;3,2
TODOS LOS CENTROS;AMBOS SEXOS;03 ASTURIAS, PRINCIPADO DE;Segundo;2
TODOS LOS CENTROS;AMBOS SEXOS;03 ASTURIAS, PRINCIPADO DE;Tercero;2,5
TODOS LOS CENTROS;AMBOS SEXOS;03 ASTURIAS, PRINCIPADO DE;Cuarto;2,1
TODOS LOS CENTROS;AMBOS SEXOS;04 BALEARS, ILLES;Total;3,9
TODOS LOS CENTROS;AMBOS SEXOS;04 BALEARS, ILLES;Primero;4,2
TODOS LOS CENTROS;AMBOS SEXOS;04 BALEARS, ILLES;Segundo;4,2
TODOS LOS CENTROS;AMBOS SEXOS;04 BALEARS, ILLES;Tercero;3,8
TODOS LOS CENTROS;AMBOS SEXOS;04 BALEARS, ILLES;Cuarto;3,1
TODOS LOS CENTROS;AMBOS SEXOS;05 CANARIAS;Total;3,1
TODOS LOS CENTROS;AMBOS SEXOS;05 CANARIAS;Primero;3,9
TODOS LOS CENTROS;AMBOS SEXOS;05 CANARIAS;Segundo;2,5
TODOS LOS CENTROS;AMBOS SEXOS;05 CANARIAS;Tercero;3,1
TODOS LOS CENTROS;AMBOS SEXOS;05 CANARIAS;Cuarto;2,7
TODOS LOS CENTROS;AMBOS SEXOS;Las Palmas;Total;3,2
TODOS LOS CENTROS;AMBOS SEXOS;Las Palmas;Primero;3,9
TODOS LOS CENTROS;AMBOS SEXOS;Las Palmas;Segundo;2,8
TODOS LOS CENTROS;AMBOS SEXOS;Las Palmas;Tercero;3
TODOS LOS CENTROS;AMBOS SEXOS;Las Palmas;Cuarto;2,9
TODOS LOS CENTROS;AMBOS SEXOS;Santa Cruz de Tenerife;Total;3
TODOS LOS CENTROS;AMBOS SEXOS;Santa Cruz de Tenerife;Primero;4
TODOS LOS CENTROS;AMBOS SEXOS;Santa Cruz de Tenerife;Segundo;2,2
TODOS LOS CENTROS;AMBOS SEXOS;Santa Cruz de Tenerife;Tercero;3,1
TODOS LOS CENTROS;AMBOS SEXOS;Santa Cruz de Tenerife;Cuarto;2,5
TODOS LOS CENTROS;AMBOS SEXOS;06 CANTABRIA;Total;2,6
TODOS LOS CENTROS;AMBOS SEXOS;06 CANTABRIA;Primero;3
TODOS LOS CENTROS;AMBOS SEXOS;06 CANTABRIA;Segundo;2,7
TODOS LOS CENTROS;AMBOS SEXOS;06 CANTABRIA;Tercero;2,8
TODOS LOS CENTROS;AMBOS SEXOS;06 CANTABRIA;Cuarto;1,6
TODOS LOS CENTROS;AMBOS SEXOS;07 CASTILLA Y LEÓN;Total;4,3
TODOS LOS CENTROS;AMBOS SEXOS;07 CASTILLA Y LEÓN;Primero;5,6
TODOS LOS CENTROS;AMBOS SEXOS;07 CASTILLA Y LEÓN;Segundo;4,6
TODOS LOS CENTROS;AMBOS SEXOS;07 CASTILLA Y LEÓN;Tercero;3,7
TODOS LOS CENTROS;AMBOS SEXOS;07 CASTILLA Y LEÓN;Cuarto;3,2
TODOS LOS CENTROS;AMBOS SEXOS;Ávila;Total;5,3
TODOS LOS CENTROS;AMBOS SEXOS;Ávila;Primero;6,3
TODOS LOS CENTROS;AMBOS SEXOS;Ávila;Segundo;6,1
TODOS LOS CENTROS;AMBOS SEXOS;Ávila;Tercero;4,1
TODOS LOS CENTROS;AMBOS SEXOS;Ávila;Cuarto;4,5
TODOS LOS CENTROS;AMBOS SEXOS;Burgos;Total;3,9
TODOS LOS CENTROS;AMBOS SEXOS;Burgos;Primero;5,6
TODOS LOS CENTROS;AMBOS SEXOS;Burgos;Segundo;4,1
TODOS LOS CENTROS;AMBOS SEXOS;Burgos;Tercero;3,3
TODOS LOS CENTROS;AMBOS SEXOS;Burgos;Cuarto;2,4
TODOS LOS CENTROS;AMBOS SEXOS;León;Total;3,6
TODOS LOS CENTROS;AMBOS SEXOS;León;Primero;4,1
TODOS LOS CENTROS;AMBOS SEXOS;León;Segundo;4,7
TODOS LOS CENTROS;AMBOS SEXOS;León;Tercero;3
TODOS LOS CENTROS;AMBOS SEXOS;León;Cuarto;2,5
TODOS LOS CENTROS;AMBOS SEXOS;Palencia;Total;5,7
TODOS LOS CENTROS;AMBOS SEXOS;Palencia;Primero;7,6
TODOS LOS CENTROS;AMBOS SEXOS;Palencia;Segundo;5,7
